#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-16 07:32:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-16 07:32:18 GET / - 31.13.190.254 HTTP/1.0 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://crossroadsbar.co.nz/ 200 23184 315
2019-08-17 01:01:21 GET /images/db.png - 118.92.120.106 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+INE-LX2)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/76.0.3809.111+Mobile+Safari/537.36 http://www.crossroadsbar.co.nz/css/style.css 200 7998 401
2019-08-17 01:01:22 GET /favicon.ico - 118.92.120.106 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+INE-LX2)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/76.0.3809.111+Mobile+Safari/537.36 http://www.crossroadsbar.co.nz/ 404 1405 386
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-17 02:28:10
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-17 02:28:10 GET / - 180.163.220.43 HTTP/1.1 Mozilla/5.0(compatible;MSIE9.0;WindowsNT6.1;Trident/5.0) http://crossroadsbar.co.nz/ 200 6996 255
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-17 05:45:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-17 05:45:47 GET /robots.txt - 66.249.64.170 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 233
2019-08-17 05:45:48 GET / - 66.249.64.168 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 6996 557
