#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 08:07:29
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 08:07:29 GET / - 113.190.254.102 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+MRSPUTNIK+2,+4,+0,+471;+.NET+CLR+1.1.4322;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729) http://palacehotel.co.nz 200 13757 275
2019-04-04 17:03:50 GET /robots.txt - 123.125.67.224 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/45.0.2454.93+Safari/537.36 - 404 1424 265
2019-04-04 17:10:51 POST /temp.php - 193.106.30.98 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+rv:34.0)+Gecko/20100101+Firefox/34.0 - 404 1405 297
2019-04-04 17:21:45 GET /index.html - 66.249.66.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 304 210 616
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 18:47:11
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 18:47:11 GET /user/register/ - 103.86.51.247 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+de;+rv:1.9)+Gecko/2008052906+Firefox/3.0 - 404 1424 209
2019-04-04 18:47:11 GET / - 103.86.51.247 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+de;+rv:1.9)+Gecko/2008052906+Firefox/3.0 - 200 13757 195
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 21:00:44
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 21:00:44 GET /contact.html - 23.254.130.249 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+en)+Opera+8.50 http://palacehotel.co.nz 200 6415 253
2019-04-04 21:02:22 GET / - 66.249.83.77 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 - 200 2707 427
2019-04-04 21:02:22 GET / - 66.249.83.77 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 - 200 13738 427
2019-04-04 21:02:22 GET /js/menu.js - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 2093 417
2019-04-04 21:02:23 GET /js/custom.js - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 2120 419
2019-04-04 21:02:23 GET /js/animated-headline.js - 66.249.83.77 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 5815 430
2019-04-04 21:02:23 GET /js/custom.js - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 2120 419
2019-04-04 21:02:23 GET /css/style.css - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 4401 435
2019-04-04 21:02:23 GET /js/isotope.pkgd.min.js - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 38008 429
2019-04-04 21:02:23 GET /img/logo.png - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 22564 436
2019-04-04 21:02:23 GET /js/bootstrap.min.js - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 37132 426
2019-04-04 21:02:23 GET /js/jquery-2.1.1.js - 66.249.83.77 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 247616 425
2019-04-04 21:02:23 GET /ionicons/css/ionicons.min.css - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 51532 451
2019-04-04 21:02:23 GET /css/bootstrap.min.css - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 120748 443
2019-04-04 21:02:23 GET /css/style.css - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 23669 435
2019-04-04 21:02:23 GET /js/modernizr.js - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 51615 422
2019-04-04 21:02:24 GET /js/jquery-2.1.1.js - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 73563 425
2019-04-04 21:02:24 GET /img/img3_1.jpg - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1125686 438
2019-04-04 21:02:24 GET /img/img5.jpg - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1134136 436
2019-04-04 21:02:24 GET /img/img3.jpg - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1188783 436
2019-04-04 21:02:24 GET /img/img2.jpg - 66.249.83.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1266298 436
2019-04-04 21:02:24 GET /img/img8.jpg - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1146016 436
2019-04-04 21:02:24 GET /img/img7.jpg - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1155627 436
2019-04-04 21:02:24 GET /img/img9.jpg - 66.249.83.77 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1089855 436
2019-04-04 21:02:24 GET /img/img2.jpg - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1266298 436
2019-04-04 21:02:24 GET /img/img10.jpg - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/ 200 1018686 437
2019-04-04 21:02:24 GET /img/bg.jpg - 66.249.83.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.1;+en-us;+Nexus+5+Build/JOP40D)+AppleWebKit/535.19+(KHTML,+like+Gecko;+googleweblight)+Chrome/38.0.1025.166+Mobile+Safari/535.19 http://www.palacehotel.co.nz/css/style.css 200 95902 447
