#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 07:02:00
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 07:02:00 GET /webapps/i/89914/230899/336963 - 216.244.66.244 HTTP/1.1 Mozilla/5.0+(compatible;+DotBot/1.1;+http://www.opensiteexplorer.org/dotbot,+help@moz.com) - 404 1405 247
2019-06-20 08:41:47 GET /js/jquery.easing.min.js - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 2644 419
2019-06-20 08:41:48 GET /js/jquery.isotope.min.js - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 6559 420
2019-06-20 08:41:48 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8007 435
2019-06-20 08:41:48 GET /js/jquery.flexslider-min.js - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8289 423
2019-06-20 08:41:48 GET /images/logo-big.png - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16600 451
2019-06-20 08:41:48 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 404 1405 522
2019-06-20 08:41:48 GET /js/jquery.form.min.js - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5510 417
2019-06-20 08:41:48 GET /js/contactform.js - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1385 413
2019-06-20 08:41:49 GET /js/init.js - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1800 406
2019-06-20 08:41:49 GET /images/bkgs/home-bkg.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 456
2019-06-20 08:41:49 GET /js/jquery.nicescroll.min.js - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 423
2019-06-20 08:41:49 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 521
2019-06-20 08:41:51 GET /images/blog/blog-1.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14403 454
2019-06-20 08:41:51 GET /images/events/event-4.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 457
2019-06-20 08:41:51 GET /images/events/event-3.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 598125 457
2019-06-20 08:41:52 GET /images/events/event-2.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 595360 457
2019-06-20 08:41:52 GET /images/team/member-1.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 593475 456
2019-06-20 08:41:52 GET /images/gallery/gallery-1.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 460
2019-06-20 08:41:52 GET /images/gallery/gallery-2.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 460
2019-06-20 08:41:53 GET /images/gallery/gallery-4.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14402 460
2019-06-20 08:41:53 GET /images/gallery/gallery-3.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 460
2019-06-20 08:41:53 GET /images/gallery/gallery-5.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 18116 460
2019-06-20 08:41:53 GET /images/gallery/gallery-6.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20196 460
2019-06-20 08:41:55 GET /images/toggle-plus.png - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1206 463
2019-06-20 08:41:55 GET /images/icon-facebook.png - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1874 465
2019-06-20 08:41:55 GET /images/toggle-minus.png - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1196 464
2019-06-20 08:41:56 GET /images/flexslider-arrows.png - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1827 469
2019-06-20 08:41:58 GET /images/team/member-2.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 456
2019-06-20 08:41:58 GET /images/bkgs/section-bkg.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 130166 459
2019-06-20 08:41:58 GET /images/events/event-1.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 457
2019-06-20 08:42:03 GET /images/team/member-3.jpg - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 587295 456
2019-06-20 08:42:04 GET /images/favicon.ico - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 450
2019-06-20 08:57:47 GET /images/favicon.ico - 203.109.201.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.2+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 450
2019-06-20 09:05:25 GET /robots.txt - 64.62.202.70 HTTP/1.1 Go-http-client/1.1 - 404 1405 112
2019-06-20 09:05:27 GET / - 64.62.202.70 HTTP/1.1 Mozilla/5.0+(compatible;+Go-http-client/1.1;++centurybot9@gmail.com) - 200 13729 152
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 10:13:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 10:13:54 GET /robots.txt - 178.255.215.91 HTTP/1.1 Mozilla/5.0+(compatible;+Exabot/3.0;++http://www.exabot.com/go/robot) - 404 1424 277
2019-06-20 10:13:56 GET / - 178.255.215.91 HTTP/1.1 Mozilla/5.0+(compatible;+Exabot/3.0;++http://www.exabot.com/go/robot) - 200 103161 351
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 10:33:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 10:33:22 GET / - 54.36.150.190 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/6.1;++http://ahrefs.com/robot/) - 200 13729 172
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 12:13:38
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 12:13:37 GET /robots.txt - 46.229.168.136 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/3~bl;++http://www.semrush.com/bot.html) - 404 1424 209
2019-06-20 12:13:39 GET / - 46.229.168.133 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/3~bl;++http://www.semrush.com/bot.html) - 200 13748 272
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 12:32:01
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 12:32:01 GET / - 66.249.79.179 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13729 424
2019-06-20 12:32:07 GET /images/favicon.ico - 66.249.79.181 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 203
2019-06-20 12:32:07 GET /favicon.ico - 66.249.79.181 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 196
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 12:49:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 12:49:22 GET / - 52.43.114.128 HTTP/1.1 Go-http-client/1.1 - 200 0 98
2019-06-20 12:58:35 GET /css/colors.css - 66.249.79.181 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3308 383
2019-06-20 12:58:35 GET /js/jquery.flexslider-min.js - 66.249.79.179 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8289 381
2019-06-20 12:58:36 GET /js/prettyphoto/css/prettyPhoto.css - 66.249.79.183 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://www.ngateahotel.co.nz/ 200 4101 403
2019-06-20 12:58:36 GET /js/jquery.easing.min.js - 66.249.79.181 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://www.ngateahotel.co.nz/ 200 2644 377
2019-06-20 12:58:36 GET /js/jquery.form.min.js - 66.249.79.183 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5510 375
2019-06-20 12:58:37 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 66.249.79.181 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8007 393
2019-06-20 12:58:37 GET /js/jquery.nicescroll.min.js - 66.249.79.183 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 381
2019-06-20 12:58:38 GET /js/init.js - 66.249.79.183 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1800 364
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 13:22:04
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 13:22:04 GET / - 51.158.117.104 HTTP/1.1 - - 200 13729 78
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 13:43:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 13:43:59 GET /images/favicon.ico - 66.249.79.181 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 203
2019-06-20 13:51:58 GET /favicon.ico - 66.249.79.181 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 196
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 15:14:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 15:14:48 GET /robots.txt - 66.249.79.88 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 231
2019-06-20 15:14:55 GET / - 66.249.79.90 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13729 294
2019-06-20 15:19:16 HEAD / - 46.166.190.164 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) https://uptime.com/ngateahotel.co.nz 200 268 210
2019-06-20 15:26:14 GET / - 66.249.79.181 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 103142 298
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 16:12:21
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 16:12:21 GET / - 66.249.79.183 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13729 559
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 19:08:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 19:08:53 GET /robots.txt - 66.249.79.183 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 235
2019-06-20 19:08:53 GET /'no-bull-rodeo-2012'.html - 66.249.79.179 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 584
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 22:19:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 22:19:26 HEAD / - 109.201.138.227 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) https://uptime.com/ngateahotel.co.nz 200 268 210
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-20 23:57:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-20 23:57:19 GET /robots.txt - 52.240.159.47 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2019-06-20 23:57:30 GET / - 52.162.161.148 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 304 210 290
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-21 02:01:14
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-21 02:01:14 GET /robots.txt - 198.204.244.90 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 404 1405 169
2019-06-21 02:02:01 GET / - 198.204.244.90 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 200 65536 346
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-21 02:35:13
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-21 02:35:13 GET / - 103.231.91.140 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 http://ngateahotel.co.nz/ 200 103161 297
2019-06-21 02:35:21 POST /include/reservation-process.php - 103.231.91.140 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 http://ngateahotel.co.nz/ 200 305 1485
2019-06-21 02:36:26 GET /images/gallery/gallery-2.jpg - 64.233.173.49 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:11.0)+Gecko+Firefox/11.0+(via+ggpht.com+GoogleImageProxy) - 200 16758 236
2019-06-21 02:49:51 HEAD / - 109.201.154.244 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) https://uptime.com/ngateahotel.co.nz 200 268 210
2019-06-21 02:50:00 GET / - 46.166.137.194 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) https://uptime.com/ngateahotel.co.nz 200 8932 232
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-21 03:08:00
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
